model,feature_set,repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
RF,combined,4,4,0.8333333333333334,0.9047619047619048,0.7777777777777777,0.9047619047619048,0.7777777777777778,0.7707840291806354
SVM,combined,4,4,0.8333333333333334,0.9047619047619048,0.7666666666666666,0.9047619047619048,0.7962962962962963,0.7519206177414045
AB,combined,4,4,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
GBT,combined,4,4,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,5,0,0.8333333333333334,0.7857142857142857,0.8690476190476191,0.7857142857142857,0.7936507936507936,0.7127227606745064
NB,combined,5,0,0.9166666666666666,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8711309772938205
kNN,combined,5,0,0.8333333333333334,0.7222222222222222,0.9259259259259259,0.7222222222222222,0.7805555555555556,0.7105181184430335
DT,combined,5,0,0.75,0.6190476190476191,0.5,0.6190476190476191,0.5523809523809523,0.5521576303742327
RF,combined,5,0,0.75,0.6190476190476191,0.5,0.6190476190476191,0.5523809523809523,0.5521576303742327
SVM,combined,5,0,0.8333333333333334,0.7857142857142857,0.8690476190476191,0.7857142857142857,0.7936507936507936,0.7127227606745064
AB,combined,5,0,0.8333333333333334,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.625,0.7213357077339458
GBT,combined,5,0,0.8333333333333334,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.625,0.7213357077339458
LR,combined,5,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
NB,combined,5,1,0.75,0.5138888888888888,0.48148148148148145,0.5138888888888888,0.49673202614379086,0.43915503282683993
kNN,combined,5,1,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
DT,combined,5,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
RF,combined,5,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
SVM,combined,5,1,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,0.7936507936507936,0.7389884275845571
AB,combined,5,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
GBT,combined,5,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
LR,combined,5,2,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,5,2,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
kNN,combined,5,2,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065
DT,combined,5,2,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
RF,combined,5,2,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,5,2,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,5,2,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,5,2,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,5,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
NB,combined,5,3,1.0,1.0,1.0,1.0,1.0,1.0
kNN,combined,5,3,0.75,0.75,0.9,0.75,0.7411764705882353,0.5765566601970551
DT,combined,5,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
RF,combined,5,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
SVM,combined,5,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
AB,combined,5,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
GBT,combined,5,3,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
LR,combined,5,4,0.6666666666666666,0.8095238095238094,0.6833333333333332,0.8095238095238094,0.6296296296296297,0.5956058407304909
NB,combined,5,4,0.8333333333333334,0.6190476190476191,0.5523809523809523,0.6190476190476191,0.582010582010582,0.6901982514999776
kNN,combined,5,4,0.8333333333333334,0.9047619047619048,0.7666666666666666,0.9047619047619048,0.7962962962962963,0.7519206177414045
DT,combined,5,4,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
RF,combined,5,4,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,5,4,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816
AB,combined,5,4,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
GBT,combined,5,4,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,6,0,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,6,0,0.9166666666666666,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8666666666666666,0.8579409756912387
kNN,combined,6,0,0.9166666666666666,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.8666666666666666,0.8579409756912387
DT,combined,6,0,1.0,1.0,1.0,1.0,1.0,1.0
RF,combined,6,0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,6,0,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,6,0,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,6,0,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,6,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
NB,combined,6,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
kNN,combined,6,1,0.75,0.5138888888888888,0.5925925925925926,0.5138888888888888,0.5411764705882353,0.45512949491639976
DT,combined,6,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
RF,combined,6,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
SVM,combined,6,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
AB,combined,6,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
GBT,combined,6,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
LR,combined,6,2,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
NB,combined,6,2,0.75,0.5138888888888888,0.48148148148148145,0.5138888888888888,0.49673202614379086,0.43915503282683993
kNN,combined,6,2,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,0.7936507936507936,0.7389884275845571
DT,combined,6,2,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
RF,combined,6,2,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,6,2,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,6,2,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
GBT,combined,6,2,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,6,3,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,6,3,1.0,1.0,1.0,1.0,1.0,1.0
kNN,combined,6,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
DT,combined,6,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
RF,combined,6,3,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,6,3,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816
AB,combined,6,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
GBT,combined,6,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
