model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
GBT,combined,3,3,0.9166666666666666,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,3,4,0.9277777777777777,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,3,4,0.6833333333333332,"{""model__var_smoothing"": 1e-11}"
kNN,combined,3,4,0.7777777777777777,"{""model__n_neighbors"": 5, ""model__weights"": ""uniform""}"
DT,combined,3,4,0.9499999999999998,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,3,4,0.9722222222222222,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,3,4,0.9277777777777777,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,3,4,0.9722222222222222,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,3,4,0.8888888888888888,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,4,0,0.8222222222222223,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,4,0,0.8444444444444444,"{""model__var_smoothing"": 1e-11}"
kNN,combined,4,0,0.7111111111111111,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,4,0,0.9333333333333332,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,4,0,0.9777777777777777,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,4,0,0.8555555555555555,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,4,0,0.8666666666666667,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 100}"
GBT,combined,4,0,0.8444444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,4,1,0.8444444444444446,"{""model__C"": 1.0, ""model__class_weight"": null}"
NB,combined,4,1,0.7444444444444445,"{""model__var_smoothing"": 1e-11}"
kNN,combined,4,1,0.7777777777777778,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,4,1,0.854320987654321,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,4,1,0.9555555555555554,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,4,1,0.8333333333333334,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,4,1,0.8432098765432099,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
GBT,combined,4,1,0.8987654320987654,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,4,2,0.8987654320987656,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,4,2,0.7000000000000001,"{""model__var_smoothing"": 1e-11}"
kNN,combined,4,2,0.7999999999999999,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,4,2,0.9098765432098767,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,4,2,0.9209876543209877,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
SVM,combined,4,2,0.9222222222222222,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,4,2,0.9098765432098764,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 25}"
GBT,combined,4,2,0.9666666666666667,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,4,3,0.9500000000000001,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,4,3,0.7444444444444444,"{""model__var_smoothing"": 1e-11}"
kNN,combined,4,3,0.8388888888888889,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,4,3,0.9166666666666666,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,4,3,0.9722222222222222,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,4,3,0.9277777777777777,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,4,3,0.9499999999999998,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 25}"
